Values: [Hand structure (body structure), Hand structure]; time elapsed: 1054 millisec.
Values: [Disease caused by severe acute respiratory syndrome coronavirus 2 (disorder), COVID-19, Suspected disease caused by severe acute respiratory coronavirus 2 (situation), Suspected COVID-19, Severe acute respiratory syndrome coronavirus 2 vaccination (procedure), SARS-CoV-2 vaccination]; time elapsed: 6402 millisec.
Values: [Disease caused by severe acute respiratory syndrome coronavirus 2 (disorder), COVID-19, Suspected disease caused by severe acute respiratory coronavirus 2 (situation), Suspected COVID-19, Severe acute respiratory syndrome coronavirus 2 vaccination (procedure), SARS-CoV-2 vaccination]; time elapsed: 7687 millisec.
Values: [not-subsumed]; time elapsed: 10380 millisec.
Values: [not-subsumed]; time elapsed: 10532 millisec.
Values: [not-subsumed]; time elapsed: 11160 millisec.
Values: [not-subsumed]; time elapsed: 10709 millisec.
Values: [not-subsumed]; time elapsed: 10056 millisec.
Values: [Burn of face]; time elapsed: 11075 millisec.
Values: [BooleanType[false]]; time elapsed: 15292 millisec.
Values: [BooleanType[false]]; time elapsed: 16283 millisec.
Values: [BooleanType[false]]; time elapsed: 17546 millisec.
Values: [BooleanType[false]]; time elapsed: 17875 millisec.
Values: [BooleanType[false]]; time elapsed: 17936 millisec.
Values: [Paracetamol (substance), Acetaminophen]; time elapsed: 676 millisec.
Values: [279982005, 52448006]; time elapsed: 690 millisec.
Values: [true]; time elapsed: 1415 millisec.
Values: [true]; time elapsed: 4369 millisec.
Values: [equivalent]; time elapsed: 115 millisec.
Values: [279982005, 52448006]; time elapsed: 5174 millisec.
Values: [Entire lung (body structure), Entire lung]; time elapsed: 5287 millisec.
Values: [Clinical finding (finding), Clinical finding]; time elapsed: 5349 millisec.
Values: [true]; time elapsed: 5319 millisec.
Values: [Entire lung (body structure), Entire lung]; time elapsed: 6250 millisec.
Values: [Midazolam (substance), Midazolam]; time elapsed: 6298 millisec.
Values: [true]; time elapsed: 6998 millisec.
Values: [373504006, 372616003]; time elapsed: 7134 millisec.
Values: [373504006, 372616003]; time elapsed: 7126 millisec.
Values: [186747009]; time elapsed: 7247 millisec.
Values: [Disease caused by severe acute respiratory syndrome coronavirus 2 (disorder), COVID-19, Suspected disease caused by severe acute respiratory coronavirus 2 (situation), Suspected COVID-19, Severe acute respiratory syndrome coronavirus 2 vaccination (procedure), SARS-CoV-2 vaccination]; time elapsed: 8798 millisec.
Values: [Disease caused by severe acute respiratory syndrome coronavirus 2 (disorder), COVID-19, Suspected disease caused by severe acute respiratory coronavirus 2 (situation), Suspected COVID-19, Severe acute respiratory syndrome coronavirus 2 vaccination (procedure), SARS-CoV-2 vaccination]; time elapsed: 8987 millisec.
Values: [Disease caused by severe acute respiratory syndrome coronavirus 2 (disorder), COVID-19, Suspected disease caused by severe acute respiratory coronavirus 2 (situation), Suspected COVID-19, Severe acute respiratory syndrome coronavirus 2 vaccination (procedure), SARS-CoV-2 vaccination]; time elapsed: 9805 millisec.
Values: [Midazolam]; time elapsed: 10838 millisec.
Values: [Clinical finding]; time elapsed: 14174 millisec.
Values: [Imaging observable]; time elapsed: 14368 millisec.
Values: [Burn of face]; time elapsed: 14443 millisec.
Values: [Acetaminophen]; time elapsed: 15599 millisec.
Values: [not-subsumed]; time elapsed: 15999 millisec.
Values: [BooleanType[true]]; time elapsed: 17972 millisec.
Values: [BooleanType[false]]; time elapsed: 18782 millisec.
Values: [BooleanType[false]]; time elapsed: 19183 millisec.
Values: [BooleanType[false]]; time elapsed: 19710 millisec.
Values: [BooleanType[false]]; time elapsed: 19979 millisec.
Values: [BooleanType[false]]; time elapsed: 20297 millisec.
